Node ID,Protein ID,Protein Name,Disease Node,Degree,LCI
2048,2521,FUS,0,354,
5967,7297,TYK2,0,94,
6148,7515,XRCC1,0,82,
16389,23451,SF3B1,0,446,
2567,3146,HMGB1,0,114,
2569,3148,HMGB2,0,61,
6666,8350,HIST1H3A,0,309,
2059,2534,FYN,0,410,
6163,7532,YWHAG,0,542,
20,25,ABL1,0,389,
6165,7534,YWHAZ,0,662,
6166,7535,ZAP70,1,71,36.0
18967,27316,RBMX,0,235,
2594,3178,HNRNPA1,0,701,
2598,3183,HNRNPC,0,386,
1576,5777,PTPN6,0,123,
6151,7518,XRCC4,1,45,596.0
7726,9641,IKBKE,0,392,
47,53,ACP2,0,43,
20530,30833,NT5C,0,31,
3123,3815,KIT,0,75,
18270,26191,PTPN22,0,25,
6153,7520,XRCC5,0,233,
7740,9656,MDC1,0,196,
3140,3836,KPNA1,0,131,
20038,2078,ERG,0,88,
79,100,ADA,1,32,563.0
6739,8452,CUL3,0,1228,
1620,1956,EGFR,0,926,
5213,6427,SRSF2,0,259,
7268,9094,UNC119,0,123,
8295,10283,CWC27,0,93,
4711,5788,PTPRC,1,84,1.0
5744,7037,TFRC,1,109,589.0
17427,155945,,0,63,
1653,1994,ELAVL1,0,1866,
19063,93034,NT5C1B,0,28,
5244,6461,SHB,0,20,
5247,6464,SHC1,0,277,
7809,9730,DCAF1,0,101,
5483,6729,SRP54,0,30,
5398,6632,SNRPD1,0,233,
6792,8517,IKBKG,0,465,
5400,6634,SNRPD3,0,221,
1170,1398,CRK,0,377,
1177,1407,CRY1,0,147,
2718,3320,HSP90AA1,0,900,
166,204,AK2,1,51,188.0
3240,200558,APLF,0,35,
3243,3953,LEPR,0,26,
1197,1432,MAPK14,0,329,
13355,51547,SIRT7,0,666,
4786,5885,RAD21,0,268,
1718,2064,ERBB2,0,201,
1719,2065,ERBB3,0,87,
1210,1445,CSK,0,87,
799,952,CD38,0,9,
4796,5896,RAG1,1,23,299.0
4797,5897,RAG2,1,7,2242.0
117,142,PARP1,0,286,
3267,3981,LIG4,1,135,1072.0
1221,1457,CSNK2A1,0,615,
8391,10399,RACK1,0,286,
4300,5295,PIK3R1,0,307,
1741,2099,ESR1,0,789,
4818,5921,RASA1,0,97,
7893,9820,CUL7,0,649,
729,867,CBL,0,276,
3802,4691,NCL,0,438,
6364,7852,CXCR4,0,51,
17363,155871,,0,312,
5855,7157,TP53,0,1001,
3794,4683,NBN,0,88,
3230,3937,LCP2,0,50,
4339,5335,PLCG1,0,279,
5885,7189,TRAF6,0,552,
2814,3454,IFNAR1,0,30,
767,915,CD3D,1,17,343.0
768,916,CD3E,1,38,175.0
769,917,CD3G,0,15,
771,919,CD247,0,47,
772,920,CD4,0,125,
129,154,ADRB2,0,276,
3336,4067,LYN,0,269,
777,925,CD8A,0,37,
5393,6626,SNRPA,0,254,
2606,3192,HNRNPU,0,691,
7958,9894,TELO2,0,44,
5399,6633,SNRPD2,0,223,
1816,2185,PTK2B,0,92,
5850,7150,TOP1,0,279,
287,351,APP,0,2132,
2338,2885,GRB2,0,1081,
13091,51251,NT5C3A,0,40,
988,1173,AP2M1,0,229,
3884,4790,NFKB1,0,277,
1842,2214,FCGR3A,0,19,
820,974,CD79B,0,19,
15671,55366,LGR4,0,201,
5432,6667,SP1,0,441,
2361,2908,NR3C1,0,242,
5949,7277,TUBA4A,0,215,
2889,3560,IL2RB,0,36,
2890,3561,IL2RG,1,40,740.0
21323,56953,NT5M,0,29,
18764,27040,LAT,0,58,
2895,3566,IL4R,0,24,
2903,3574,IL7,0,4,
2904,3575,IL7R,1,104,20.0
1371,1642,DDB1,0,382,
4956,6117,RPA1,0,494,
861,1017,CDK2,0,892,
4958,6119,RPA3,0,399,
3426,4171,MCM2,0,918,
1384,1655,DDX5,0,449,
5481,6727,SRP14,0,177,
46,52,ACP1,0,48,
1388,1660,DHX9,0,529,
2450,3006,HIST1H1C,0,88,
3422,4163,MCC,0,306,
2936,3608,ILF2,0,451,
2937,3609,ILF3,0,463,
10107,79026,AHNAK,0,98,
1223,1459,CSNK2A2,0,341,
8065,10014,HDAC5,0,370,
389,472,ATM,0,218,
4957,6118,RPA2,0,471,
3978,4904,YBX1,0,412,
1943,2335,FN1,0,792,
3981,4907,NT5E,0,79,
2446,3002,GZMB,0,45,
10640,79840,NHEJ1,0,12,
