Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
20,25,ABL1,0,389,
174,213,ALB,0,200,
287,351,APP,0,2132,
594,713,C1QB,1,23,4966.0
596,715,C1R,0,13,
598,717,C2,0,8,
599,718,C3,1,49,2016.0
600,719,C3AR1,0,3,
601,720,C4A,1,23,152.0
607,727,C5,1,14,198.0
611,731,C8A,1,4,1667.0
612,732,C8B,1,4,79.0
613,733,C8G,0,3,
615,735,C9,1,5,3.0
644,775,CACNA1C,1,25,404.0
768,916,CD3E,1,38,2.0
771,919,CD247,0,47,
795,948,CD36,1,20,2.0
799,952,CD38,0,9,
812,966,CD59,0,35,
820,974,CD79B,0,19,
1004,1191,CLU,0,123,
1142,1369,CPN1,0,8,
1151,1378,CR1,0,11,
1210,1445,CSK,0,87,
1401,1675,CFD,1,7,2.0
1482,1789,DNMT3B,1,78,7765.0
1943,2335,FN1,0,792,
2059,2534,FYN,0,410,
2338,2885,GRB2,0,1081,
2510,3075,CFH,1,22,2.0
2791,3426,CFI,0,4,
3005,3684,ITGAM,0,27,
3037,3718,JAK3,0,94,
3225,3932,LCK,0,256,
3243,3953,LEPR,1,26,483.0
4300,5295,PIK3R1,0,307,
4446,8547,FCN3,1,2,13519.0
4711,5788,PTPRC,0,84,
4728,5806,PTX3,0,9,
5247,6464,SHC1,0,277,
5469,6714,SRC,0,525,
5764,7057,THBS1,0,54,
6078,7428,VHL,0,466,
6166,7535,ZAP70,1,71,36.0
6741,8454,CUL1,0,763,
6977,8726,EED,0,483,
10407,284161,GDPD1,0,27,
16031,55832,CAND1,0,700,
16354,23411,SIRT1,0,261,
18270,26191,PTPN22,0,25,
18764,27040,LAT,0,58,
18880,27202,C5AR2,0,3,
20025,57724,EPG5,1,2,20744.0
