Node ID,Protein ID,Protein Name,Disease Node,Degree
59,70,,1,65
68,88,,0,105
129,154,,0,276
236,291,,1,68
579,695,,0,123
687,823,,0,110
721,859,,1,21
1741,2099,,0,789
2338,2885,,0,1081
2715,3316,,0,123
3426,4171,,0,918
3727,4607,,1,17
3742,4624,,1,32
3743,4625,,1,38
3750,4634,,1,8
4537,5581,,0,175
5432,6667,,0,441
5836,7133,,0,127
5837,7134,,1,15
5840,7137,,0,37
5865,7168,,0,142
5866,7169,,0,103
6599,8266,,0,306
7030,8790,,0,10
8867,10971,,0,464
12479,7135,,0,17
12939,51086,,0,9
13394,7139,,1,11
13632,84676,,0,95
14041,85366,,1,21
15274,54916,,0,7
21148,64750,,0,187
