Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
6147,7514,XPO1,0,1256,
2059,2534,FYN,0,410,
6162,7531,YWHAE,0,426,
20,25,ABL1,0,389,
6165,7534,YWHAZ,0,662,
10286,24144,TFIP11,0,382,
4143,5108,PCM1,0,269,
4145,5111,PCNA,0,390,
4147,5116,PCNT,1,64,1780.0
60,71,ACTG1,0,187,
16453,23521,RPL13A,0,273,
18507,26574,AATF,0,69,
2129,2622,GAS8,0,108,
8287,10273,STUB1,0,258,
6251,7681,MKRN3,0,160,
10352,79444,BIRC7,0,50,
19135,93185,IGSF8,0,189,
12412,2249,FGF4,0,5,
21184,64793,CEP85,0,41,
133,158,ADSL,0,66,
6278,171568,POLR3H,0,22,
135,160,AP2A1,0,121,
2184,2688,GH1,0,89,
2186,2690,GHR,1,55,1385.0
2193,2697,GJA1,1,47,609.0
8344,171024,SYNPO2,0,21,
4256,5245,PHB,0,356,
6326,7798,LUZP1,0,69,
4300,5295,PIK3R1,0,307,
4301,5296,PIK3R2,0,144,
4305,5300,PIN1,0,309,
6355,7840,ALMS1,0,33,
2280,2810,SFN,0,290,
237,292,SLC25A5,0,335,
4339,5335,PLCG1,0,279,
8442,10456,HAX1,0,131,
4349,5347,PLK1,0,268,
6401,7917,BAG6,0,302,
263,324,APC,0,301,
4376,5378,PMS1,0,57,
8477,10492,SYNCRIP,0,459,
287,351,APP,0,2132,
2338,2885,GRB2,0,1081,
8493,10514,MYBBP1A,0,253,
14639,119391,GSTO2,0,16,
12600,17886,,0,192,
4411,5432,POLR2C,0,122,
4413,5434,POLR2E,0,126,
4414,5435,POLR2F,0,90,
4416,5437,POLR2H,0,98,
4420,5441,POLR2L,0,96,
9081,11224,RPL35,0,277,
337,408,ARRB1,0,314,
338,409,ARRB2,0,366,
6489,8074,FGF23,0,4,
16762,155030,,0,177,
14716,2254,FGF9,0,6,
4481,5520,PPP2R2A,0,86,
4991,6159,RPL29,0,279,
389,472,ATM,0,218,
12686,18005,,0,37,
8592,10621,POLR3F,0,43,
8594,10623,POLR3C,0,65,
2451,3007,HIST1H1D,0,137,
2458,3014,H2AFX,0,307,
8611,10642,IGF2BP1,0,256,
4521,5563,PRKAA2,0,171,
4524,5566,PRKACA,0,420,
4525,5567,PRKACB,0,217,
4534,5578,PRKCA,0,395,
4537,5581,PRKCE,0,175,
4547,5591,PRKDC,0,312,
453,545,ATR,1,134,799.0
4550,5594,MAPK1,0,402,
4553,5597,MAPK6,0,282,
4555,5599,MAPK8,0,256,
6604,6840,SVIL,0,134,
6907,8651,SOCS1,0,76,
