Node ID,Protein ID,Protein Name,Disease Node,Degree,LCI
2048,2521,FUS,0,354,
6147,7514,XPO1,0,1256,
4100,5058,PAK1,0,161,
2059,2534,FYN,0,410,
6159,7528,YY1,0,172,
6163,7532,YWHAG,0,542,
20,25,ABL1,0,389,
6165,7534,YWHAZ,0,662,
20505,653361,NCF1,0,49,
1160,1387,CREBBP,0,400,
33,38,ACAT1,0,80,
2084,2563,GABRD,1,5,4832.0
6182,7555,CNBP,0,71,
8234,10213,PSMD14,0,120,
1714,2060,EPS15,0,161,
7517,9392,TGFBRAP1,0,19,
4145,5111,PCNA,0,390,
16051,23085,ERC1,0,68,
53,60,ACTB,0,466,
60,71,ACTG1,0,187,
65,81,ACTN4,0,153,
67,87,ACTN1,0,164,
68,88,ACTN2,0,105,
694,830,CAPZA2,0,270,
70,90,ACVR1,0,121,
71,91,ACVR1B,0,51,
72,92,ACVR2A,0,33,
73,93,ACVR2B,0,35,
74,94,ACVRL1,0,22,
16461,23529,CLCF1,1,5,421.0
12984,83900,KRTAP9-3,0,132,
18514,59349,KLHL12,0,75,
10596,14252,,0,56,
8284,10270,AKAP8,0,69,
8287,10273,STUB1,0,258,
5892,100506658,OCLN,0,33,
1041,132320,SCLT1,0,158,
8299,337967,KRTAP6-2,0,188,
117,142,PARP1,0,286,
20599,22854,NTNG1,1,1,179.0
4116,5077,PAX3,1,34,17511.0
12412,2249,FGF4,0,5,
6269,7706,TRIM25,0,91,
4223,5204,PFDN5,0,185,
4459,5494,PPM1A,0,55,
135,160,AP2A1,0,121,
138,163,AP2B1,0,127,
2193,2697,GJA1,1,47,637.0
2415,2966,GTF2H2,0,37,
2417,2968,GTF2H4,0,50,
168,207,AKT1,0,378,
169,208,AKT2,0,129,
8372,10376,TUBA1B,0,125,
16567,23649,POLA2,0,68,
8376,10382,TUBB4A,0,103,
12479,7135,TNNI1,0,17,
5835,7132,TNFRSF1A,0,219,
6342,1303,COL12A1,1,3,6405.0
8391,10399,RACK1,0,286,
4300,5295,PIK3R1,0,307,
4301,5296,PIK3R2,0,144,
2254,2783,GNB2,0,119,
10447,79621,RNASEH2B,0,40,
6359,7846,TUBA1A,0,399,
8409,10419,PRMT5,0,360,
16079,23118,TAB2,0,134,
231,286,ANK1,0,21,
8425,10436,EMG1,1,103,188.0
6378,7874,USP7,0,313,
237,292,SLC25A5,0,335,
238,293,SLC25A6,0,207,
3112,6095,RORA,0,34,
4339,5335,PLCG1,0,279,
6388,55930,MYO5C,0,96,
4343,5339,PLEC,0,105,
8440,10454,TAB1,0,172,
4349,5347,PLK1,0,268,
12542,2963,GTF2F2,0,92,
8447,10461,MERTK,0,12,
6401,7917,BAG6,0,302,
2774,3399,ID3,0,59,
263,324,APC,0,301,
268,329,BIRC2,0,142,
269,330,BIRC3,0,87,
270,331,XIAP,0,164,
4371,5371,PML,0,237,
16663,23790,,0,146,
8473,10488,CREB3,0,283,
287,351,APP,0,2132,
2338,2885,GRB2,0,1081,
8483,10498,CARM1,0,96,
8484,10499,NCOA2,0,103,
18728,26986,PABPC1,0,504,
18731,2218,FKTN,1,2,13196.0
301,367,AR,0,301,
8503,10524,KAT5,0,265,
12600,17886,,0,192,
4409,5430,POLR2A,0,345,
4410,5431,POLR2B,0,133,
4411,5432,POLR2C,0,122,
316,387,RHOA,0,185,
4413,5434,POLR2E,0,126,
4414,5435,POLR2F,0,90,
4415,5436,POLR2G,0,106,
4416,5437,POLR2H,0,98,
4417,5438,POLR2I,0,54,
4418,5439,POLR2J,0,74,
4419,5440,POLR2K,0,44,
4420,5441,POLR2L,0,96,
2375,2923,PDIA3,0,144,
12619,17913,,0,134,
10573,79760,GEMIN7,0,47,
3469,4223,MEOX2,0,687,
337,408,ARRB1,0,314,
