Node ID,Protein ID,Protein Name,Disease Node,Degree,LCI
1,2,,0,105,
12291,729230,,1,11,3939.0
8876,10981,,1,21,247.0
2058,2533,,1,23,16143.0
2059,2534,,0,410,
4110,5071,,0,426,
6159,7528,,0,172,
20,25,,0,389,
6165,7534,,0,662,
16410,23476,,0,76,
8224,10203,,1,7,3766.0
16424,56259,,0,171,
20523,30818,,0,29,
2132,2625,,0,42,
4185,5159,,0,111,
4205,5184,,0,42,
117,142,,0,286,
131,156,,1,101,1502.0
133,158,,0,66,
2186,2690,,0,55,
2204,2710,,0,29,
161,196,,0,49,
168,207,,0,378,
195,238,,0,98,
8391,10399,,0,286,
20681,63924,,1,7,3400.0
4300,5295,,0,307,
4305,5300,,0,309,
6364,7852,,0,51,
8426,10437,,1,37,14749.0
4331,5327,,1,37,14504.0
8440,10454,,0,172,
8442,10456,,0,131,
5163,6363,,1,9,6982.0
268,329,,0,142,
272,333,,0,61,
274,335,,0,102,
4371,5371,,0,237,
8473,10488,,0,283,
287,351,,0,2132,
2338,2885,,0,1081,
291,356,,0,108,
2361,2908,,0,242,
2372,2920,,1,11,7886.0
8467,10482,,0,1153,
8522,10549,,1,57,18378.0
4428,5451,,0,107,
4429,5452,,0,31,
2382,2932,,0,362,
337,408,,0,314,
6484,8065,,0,482,
5523,6774,,0,292,
373,65991,,0,23,
4477,5515,,0,262,
6527,8140,,1,16,555.0
403,488,,0,84,
18631,125115,,0,378,
6560,8202,,0,134,
4524,5566,,0,420,
4525,5567,,0,217,
434,22931,,0,21,
4534,5578,,0,395,
4535,5579,,0,202,
4536,5580,,0,234,
4537,5581,,0,175,
4538,5582,,0,155,
4539,5583,,0,121,
4540,5584,,0,179,
4544,5588,,0,138,
4546,5590,,0,229,
4548,5592,,0,65,
2501,3066,,0,387,
4550,5594,,0,402,
4551,5595,,0,349,
4552,5596,,0,60,
4553,5597,,0,282,
4554,5598,,0,111,
4555,5599,,0,256,
4556,5600,,0,93,
4557,5601,,0,204,
4558,5602,,0,107,
4559,5603,,0,153,
