Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
9217,67444,,0,4,
4100,5058,PAK1,0,161,
3078,3764,KCNJ8,1,17,43.0
3073,3759,KCNJ2,0,20,
3081,3767,KCNJ11,0,11,
3594,6197,RPS6KA3,0,89,
2059,2534,FYN,0,410,
539,650,BMP2,1,24,3894.0
1882,2260,FGFR1,1,79,11409.0
544,655,BMP7,0,48,
546,657,BMPR1A,0,49,
547,658,BMPR1B,1,122,85.0
548,659,BMPR2,0,79,
19495,75141,,0,8,
13355,51547,SIRT7,0,666,
5469,6714,SRC,0,525,
4146,80837,,0,5,
13880,85015,USP45,0,31,
9786,78294,,0,6,
20027,108699,,0,3,
7740,9656,MDC1,0,196,
2621,3209,HOXA13,1,6,12.0
70,90,ACVR1,1,121,14.0
72,92,ACVR2A,0,33,
73,93,ACVR2B,0,35,
11856,69288,,0,5,
15962,55761,TTC17,0,13,
15453,55120,FANCL,0,62,
12895,51035,UBXN1,0,128,
16481,23551,RASD2,0,22,
1674,2017,CTTN,0,144,
13927,652,BMP4,0,19,
19562,28512,NKIRAS1,0,8,
8813,66922,,0,5,
5747,7040,TGFB1,0,110,
18039,25884,CHRDL2,0,8,
5753,7046,TGFBR1,0,321,
5755,7048,TGFBR2,0,112,
12412,2249,FGF4,0,5,
3709,121268,RHEBL1,0,15,
9348,67877,,0,4,
17031,57111,RAB25,0,23,
11400,270192,,0,4,
138,163,AP2B1,0,127,
4237,5218,CDK14,0,25,
1679,2022,ENG,0,20,
1170,1398,CRK,0,377,
16026,55827,DCAF6,0,38,
2718,3320,HSP90AA1,0,900,
7109,8878,SQSTM1,0,246,
1697,2043,EPHA4,0,32,
3244,3954,LETM1,1,14,39.0
1197,1432,MAPK14,0,329,
8477,10492,SYNCRIP,0,459,
16055,23089,PEG10,0,37,
15032,21812,,0,18,
9401,11854,,0,6,
11972,16589,,0,7,
17976,25805,BAMBI,0,10,
4809,5911,RAP2A,0,52,
4300,5295,PIK3R1,0,307,
1741,2099,ESR1,0,789,
13027,18412,,0,11,
7397,9241,NOG,1,6,8996.0
1255,67030,,0,6,
1259,1499,CTNNB1,0,395,
4339,5335,PLCG1,0,279,
4343,5339,PLEC,0,105,
10489,79666,PLEKHF2,0,127,
10497,79674,VEPH1,0,7,
8747,10818,FRS2,0,34,
3844,4734,NEDD4,0,317,
20230,29984,RHOD,0,24,
7444,9306,SOCS6,0,46,
3352,4086,SMAD1,0,186,
3353,4087,SMAD2,0,394,
3356,4090,SMAD5,0,72,
3357,4091,SMAD6,0,51,
3358,4092,SMAD7,0,96,
287,351,APP,0,2132,
2338,2885,GRB2,0,1081,
1885,2263,FGFR2,1,50,751.0
1927,2316,FLNA,1,359,34.0
301,367,AR,0,301,
1160,1387,CREBBP,0,400,
2877,3547,IGSF1,0,14,
17215,57381,RHOJ,0,30,
13121,51285,RASL12,0,13,
1868,2246,FGF1,0,28,
1869,2247,FGF2,0,42,
1870,2248,FGF3,0,8,
8016,9958,USP15,0,155,
13368,51560,RAB6B,0,29,
1874,2252,FGF7,0,13,
1875,2253,FGF8,0,4,
6489,8074,FGF23,0,4,
5978,7311,UBA52,0,293,
861,1017,CDK2,0,892,
17255,57443,,0,7,
3438,69721,,0,4,
2879,3549,IHH,1,4,2770.0
14716,2254,FGF9,0,6,
2881,3551,IKBKB,0,224,
7055,8817,FGF18,0,5,
3986,4914,NTRK1,0,1965,
5523,6774,STAT3,0,292,
7060,8822,FGF17,0,5,
7064,8826,IQGAP1,0,284,
5022,6195,RPS6KA1,0,115,
6559,8200,GDF5,1,9,38.0
15780,22800,RRAS2,0,55,
8101,10060,ABCC9,1,6,13.0
3494,4256,MGP,1,1,15.0
7083,8848,TSC22D1,0,171,
13234,18647,,0,4,
949,1123,CHN1,0,16,
5052,6233,RPS27A,0,304,
8131,10097,ACTR2,0,159,
8133,10099,TSPAN3,0,36,
15818,55611,OTUB1,0,94,
15829,55622,TTC27,0,28,
9692,69159,,0,4,
6111,7468,NSD2,1,54,7746.0
6112,7469,NELFA,1,27,11.0
1872,2250,FGF5,0,6,
11236,57154,SMURF1,0,390,
17893,58473,PLEKHB1,0,16,
1873,2251,FGF6,0,4,
18933,27276,,0,3,
20472,76108,,0,3,
