Node ID,Protein ID,Protein Name,Disease Node,Degree,LCI
1928,2317,FLNB,1,114,3274.0
1929,2318,FLNC,0,100,
523,633,BGN,1,17,892.0
1170,1398,CRK,0,377,
8467,10482,NXF1,0,1153,
1943,2335,FN1,0,792,
7064,8826,IQGAP1,0,284,
5791,7086,TKT,0,154,
2336,2879,GPX4,1,53,5805.0
2338,2885,GRB2,0,1081,
1065,1280,COL2A1,1,45,9.0
6065,7412,VCAM1,0,446,
4339,5335,PLCG1,0,279,
2997,3676,ITGA4,0,529,
5432,6667,SP1,0,441,
5434,6670,SP3,0,98,
15177,54808,DYM,1,6,15013.0
4300,5295,PIK3R1,0,307,
3405,4146,MATN1,0,7,
3407,4148,MATN3,1,11,62.0
5712,7001,PRDX2,0,118,
14802,54187,NANS,1,38,4317.0
2722,3326,HSP90AB1,0,543,
5469,6714,SRC,0,525,
3986,4914,NTRK1,0,1965,
5747,7040,TGFB1,0,110,
1527,1836,SLC26A2,1,8,9305.0
2962,3636,INPPL1,1,122,2067.0
