Node ID,Protein ID,Protein Name,Disease Node,Degree,LCI
7723,9638,FEZ1,0,62,
3077,3763,KCNJ6,1,13,9896.0
7187,8985,PLOD3,1,45,961.0
5661,6929,TCF3,0,208,
2594,3178,HNRNPA1,0,701,
7721,9636,ISG15,0,194,
2602,3188,HNRNPH2,0,192,
8747,10818,FRS2,0,34,
1885,2263,FGFR2,1,50,19.0
4145,5111,PCNA,0,390,
6068,7415,VCP,0,610,
16444,23512,SUZ12,0,338,
6739,8452,CUL3,0,1228,
15456,7291,TWIST1,1,38,1155.0
5753,7046,TGFBR1,0,321,
12412,2249,FGF4,0,5,
129,154,ADRB2,0,276,
1159,1386,ATF2,0,247,
3729,4609,MYC,0,583,
1170,1398,CRK,0,377,
2709,3309,HSPA5,0,517,
5274,6497,SKI,1,123,207.0
2718,3320,HSP90AA1,0,900,
2501,3066,HDAC2,0,387,
1697,2043,EPHA4,0,32,
2722,3326,HSP90AB1,0,543,
676,811,CALR,0,158,
168,207,AKT1,0,378,
2730,3339,HSPG2,0,48,
2222,2737,GLI3,0,29,
13355,51547,SIRT7,0,666,
10433,79600,TCTN1,0,104,
3782,4670,HNRNPM,0,400,
4300,5295,PIK3R1,0,307,
1741,2099,ESR1,0,789,
7893,9820,CUL7,0,649,
4822,5925,RB1,0,257,
3801,4690,NCK1,0,267,
732,871,SERPINH1,1,91,3969.0
5855,7157,TP53,0,1001,
16618,23729,SHPK,1,5,17615.0
4339,5335,PLCG1,0,279,
18164,26040,SETBP1,1,18,6864.0
3325,4055,LTBR,0,77,
17451,155971,,0,153,
3844,4734,NEDD4,0,317,
13061,83987,CCDC8,0,547,
5895,7205,TRIP6,0,250,
15122,54732,TMED9,0,47,
4371,5371,PML,0,237,
3355,4089,SMAD4,0,302,
287,351,APP,0,2132,
2338,2885,GRB2,0,1081,
1830,2200,FBN1,1,24,4822.0
18728,26986,PABPC1,0,504,
3882,4784,NFIX,1,22,916.0
3884,4790,NFKB1,0,277,
18227,26123,TCTN3,0,317,
4916,6045,RNF2,0,756,
7483,9352,TXNL1,0,62,
1868,2246,FGF1,0,28,
1869,2247,FGF2,0,42,
1870,2248,FGF3,0,8,
1872,2250,FGF5,0,6,
1873,2251,FGF6,0,4,
1874,2252,FGF7,0,13,
1875,2253,FGF8,0,4,
6489,8074,FGF23,0,4,
1882,2260,FGFR1,1,79,19.0
861,1017,CDK2,0,892,
3426,4171,MCM2,0,918,
869,1025,CDK9,0,247,
5994,7329,UBE2I,0,502,
10107,79026,AHNAK,0,98,
14716,2254,FGF9,0,6,
4477,5515,PPP2CA,0,262,
7317,9146,HGS,0,355,
1928,2317,FLNB,1,114,1024.0
7055,8817,FGF18,0,5,
3986,4914,NTRK1,0,1965,
5523,6774,STAT3,0,292,
7060,8822,FGF17,0,5,
5469,6714,SRC,0,525,
6042,7385,UQCRC2,0,193,
18332,26270,FBXO6,0,622,
413,498,ATP5F1A,0,213,
5022,6195,RPS6KA1,0,115,
418,506,ATP5F1B,0,158,
7077,8841,HDAC3,0,238,
2470,3030,HADHA,0,106,
16308,23363,OBSL1,0,619,
3517,4292,MLH1,0,198,
6078,7428,VHL,0,466,
1472,1778,DYNC1H1,0,194,
3010,3690,ITGB3,0,70,
2500,3065,HDAC1,0,611,
8133,10099,TSPAN3,0,36,
6599,8266,UBL4A,0,306,
2724,3329,HSPD1,0,379,
8162,10130,PDIA6,0,96,
3043,3725,JUN,0,408,
4081,5034,P4HB,1,148,1937.0
7109,8878,SQSTM1,0,246,
