Node ID,Protein ID,Protein Name,Disease Node,Degree,LCI
6147,7514,,0,1256,
6153,7520,,0,233,
2059,2534,,0,410,
6163,7532,,0,542,
20,25,,0,389,
6165,7534,,0,662,
6167,7536,,0,265,
25,30,,0,54,
9222,11461,,0,181,
53,60,,0,466,
11,16,,0,55,
16457,320678,,0,7,
2124,2617,,0,99,
4181,5154,,0,24,
4182,5155,,0,27,
3428,4173,,0,164,
8287,10273,,0,258,
18530,26608,,0,136,
16494,56334,,0,116,
6164,7533,,0,343,
12412,2249,,0,5,
2174,2673,,0,79,
2069,2547,,0,285,
8321,10312,,1,20,13674.0
16519,23594,,1,31,860.0
2184,2688,,0,89,
137,162,,0,93,
139,164,,0,62,
16529,220213,,0,9,
168,207,,0,378,
2242,2770,,0,107,
2249,2778,,0,98,
4300,5295,,0,307,
8399,10409,,0,56,
4305,5300,,0,309,
2281,2811,,0,28,
237,292,,0,335,
238,293,,0,207,
242,302,,0,200,
4339,5335,,0,279,
8438,10452,,0,117,
4349,5347,,0,268,
6401,7917,,0,302,
263,324,,0,301,
8467,10482,,0,1153,
8469,10484,,1,104,1285.0
16663,23790,,0,146,
8473,10488,,0,283,
8476,10491,,1,23,1969.0
6430,433956,,0,11,
287,351,,0,2132,
2336,2879,,1,53,6071.0
2338,2885,,0,1081,
301,367,,0,301,
12600,17886,,0,192,
1759,2121,,1,2,7223.0
2375,2923,,0,144,
4425,5447,,1,38,956.0
12619,17913,,0,134,
11661,81608,,0,62,
337,408,,0,314,
338,409,,0,366,
6489,8074,,0,4,
4442,5468,,0,167,
10595,14251,,0,62,
356,65970,,0,129,
4459,5494,,0,55,
4463,5499,,0,356,
4464,5500,,0,253,
4465,5501,,0,308,
16762,155030,,0,177,
14716,2254,,0,6,
4479,5518,,0,298,
8588,10616,,0,93,
11673,81628,,0,88,
2457,68549,,0,54,
4509,5549,,0,17,
2468,3028,,0,122,
10661,79867,,0,211,
7379,9218,,0,224,
4524,5566,,0,420,
4525,5567,,0,217,
6582,8237,,0,135,
4536,5580,,0,234,
8633,66914,,0,35,
8637,56392,,0,49,
447,538,,1,15,3529.0
2500,3065,,0,611,
6599,8266,,0,306,
4555,5599,,0,256,
4559,5603,,0,153,
2524,3091,,0,182,
2535,3106,,0,333,
14830,55790,,0,23,
8702,10762,,0,99,
4609,5663,,0,137,
4610,5664,,0,80,
2594,3178,,0,701,
2596,3181,,0,333,
21029,9786,,1,7,3406.0
2599,3184,,0,342,
2606,3192,,0,691,
561,672,,0,609,
563,675,,0,90,
4663,5727,,0,104,
568,682,,0,154,
569,136647,,0,20,
6714,8417,,0,94,
8769,10857,,0,59,
12866,116540,,0,145,
4534,5578,,0,395,
4679,5745,,1,67,5518.0
14925,54443,,0,142,
6739,8452,,0,1228,
6741,8454,,0,763,
12886,51025,,1,25,6.0
12887,51026,,0,179,
10871,375056,,0,36,
12922,51068,,0,58,
14972,54499,,1,46,2269.0
649,780,,0,28,
17035,89884,,0,63,
10894,80179,,0,178,
2704,3304,,0,91,
10898,80184,,0,109,
2708,3308,,0,366,
2709,3309,,0,517,
12951,51098,,1,4,3712.0
2712,3312,,0,600,
6596,8260,,1,72,3877.0
12954,23524,,0,330,
21148,64750,,0,187,
669,801,,0,524,
2718,3320,,0,900,
2722,3326,,0,543,
2724,3329,,0,379,
2730,3339,,1,48,354.0
12971,51119,,1,57,6547.0
4780,5879,,0,269,
8881,10987,,0,828,
4786,5885,,0,268,
694,830,,0,270,
697,833,,0,42,
4798,5898,,0,88,
19135,93185,,0,189,
4803,5903,,0,182,
710,846,,1,17,2094.0
2762,3383,,0,159,
6860,8600,,1,43,710.0
722,860,,1,63,4255.0
4822,5925,,0,257,
729,867,,0,276,
732,871,,1,91,9130.0
4834,5937,,0,33,
6898,8642,,1,2,14117.0
10995,80321,,0,270,
4859,5970,,0,419,
772,920,,0,125,
13061,83987,,0,547,
17158,221120,,0,48,
129,154,,0,276,
779,928,,0,39,
15133,54751,,0,17,
13099,51259,,0,244,
4916,6045,,0,756,
821,975,,0,219,
827,983,,0,415,
4925,6059,,0,243,
6975,8724,,0,88,
6977,8726,,0,483,
4956,6117,,0,494,
861,1017,,0,892,
4969,6132,,0,348,
2936,3608,,0,451,
2879,3549,,1,4,821.0
899,1058,,0,115,
15240,54880,,1,60,2677.0
5004,6175,,0,344,
911,1072,,0,166,
6918,8663,,0,142,
7060,8822,,0,5,
7064,8826,,0,284,
5029,6203,,0,368,
5030,6204,,0,225,
5035,6209,,0,183,
15276,54919,,0,56,
9133,11285,,1,24,4509.0
9134,7343,,0,84,
5043,6222,,0,306,
2996,3675,,1,26,1621.0
2997,3676,,0,529,
5047,6228,,0,259,
11197,80724,,0,44,
3008,3688,,0,150,
3010,3690,,0,70,
3011,3691,,0,83,
3013,3693,,0,69,
3014,3694,,0,10,
17358,57562,,0,101,
11217,80755,,0,49,
9173,11346,,0,171,
18256,26160,,1,7,1532.0
3043,3725,,0,408,
13284,51474,,0,202,
1001,1186,,1,35,2929.0
1012,1201,,0,91,
7165,8945,,0,353,
1022,1213,,0,355,
3073,3759,,0,20,
3078,3764,,1,17,12.0
3081,3767,,0,11,
5132,22900,,0,47,
11294,375791,,0,568,
1065,1280,,1,45,67.0
13355,51547,,0,666,
13356,51548,,0,125,
1885,2263,,1,50,1513.0
1081,1296,,0,14,
15420,55081,,0,53,
1086,1301,,1,2,433.0
1087,1302,,1,6,13970.0
5188,6396,,0,88,
3141,3837,,0,340,
5202,6416,,0,60,
15446,55112,,1,9,6537.0
19552,126792,,0,7,
13411,51614,,0,56,
13421,51626,,1,16,6578.0
5243,203068,,0,361,
17534,57794,,0,60,
5247,6464,,0,277,
5253,399687,,0,183,
1158,1385,,0,198,
1160,1387,,0,400,
1170,1398,,0,377,
13460,51676,,0,38,
7317,9146,,0,355,
3223,3930,,1,48,884.0
1177,1407,,0,147,
5277,6500,,0,251,
5427,6662,,1,30,750.0
3246,3956,,0,87,
3248,3958,,0,189,
3253,3964,,0,106,
3254,3965,,0,74,
13512,51741,,0,327,
8738,10808,,0,99,
7378,9217,,0,139,
3283,4000,,0,258,
9428,11938,,0,31,
6010,7347,,0,91,
1249,1487,,0,171,
15603,55283,,0,55,
18455,26499,,0,3,
15612,55294,,0,182,
5380,6613,,0,260,
3353,4087,,0,394,
3354,4088,,0,417,
3356,4090,,0,72,
7458,9321,,1,21,4292.0
15667,55362,,0,78,
3382,200728,,0,401,
5432,6667,,0,441,
5434,6670,,0,98,
5436,6672,,0,60,
13631,84675,,0,92,
5440,6678,,0,25,
5453,6697,,0,55,
1359,1627,,0,234,
1365,1634,,0,37,
7055,8817,,0,5,
5469,6714,,0,525,
15712,55454,,0,23,
3426,4171,,0,918,
5476,6721,,0,113,
3429,4174,,0,302,
1383,1654,,0,379,
1384,1655,,0,449,
15932,55729,,0,91,
2962,3636,,1,122,1783.0
5487,6733,,0,460,
3461,4214,,0,242,
3469,4223,,0,687,
5521,6772,,0,225,
5523,6774,,0,292,
5525,6776,,0,106,
5529,6780,,0,324,
7579,9469,,1,10,1658.0
5539,6790,,0,297,
1444,51341,,0,36,
19879,4869,,0,746,
18332,26270,,0,622,
15802,55593,,0,21,
3534,4312,,0,25,
3543,4322,,0,11,
7077,8841,,0,238,
1505,132884,,0,85,
7653,9554,,0,75,
4551,5595,,0,349,
17896,58477,,0,148,
7658,9559,,0,100,
5620,6885,,0,183,
1527,1836,,1,8,3299.0
11775,81833,,0,60,
13833,150483,,0,99,
3594,6197,,0,89,
5661,6929,,0,208,
6064,7411,,0,68,
7717,9632,,0,70,
7721,9636,,0,194,
7723,9638,,0,62,
7726,9641,,0,392,
2995,3674,,0,34,
1591,1915,,0,613,
5044,6223,,1,235,1105.0
7740,9656,,0,196,
7741,9657,,0,213,
1604,1937,,0,173,
5707,6993,,0,136,
1620,1956,,0,926,
5723,7013,,0,323,
1632,1969,,0,70,
5747,7040,,0,110,
1653,1994,,0,1866,
5764,7057,,0,54,
18060,25913,,0,215,
1680,2023,,0,361,
3729,4609,,0,583,
1687,2033,,0,547,
11930,16525,,0,44,
5788,7083,,0,182,
16031,55832,,0,700,
3745,4627,,0,343,
16034,55835,,0,151,
20083,29766,,0,89,
20153,29887,,1,6,6221.0
1741,2099,,0,789,
7893,9820,,0,649,
5855,7157,,0,1001,
5856,7158,,0,175,
1765,2130,,0,698,
5865,7168,,0,142,
5868,7171,,0,92,
16118,23157,,0,39,
5882,7186,,0,509,
12028,16709,,0,73,
3844,4734,,0,317,
5895,7205,,0,250,
3856,4750,,1,27,6559.0
